run_time,variable,RMSE,MAE,Bias,Correlation,Skill Score,n_points,POD,FAR,CSI,FBIAS,F1,threshold_mm,n_events_obs,hits,misses,false_alarms
2026-09-05T10:57:36.770668,tp,0.0017528412609525,0.001346525880725,-0.0001591375590945,0.9999064370854308,0.9862499964516402,12769,0.953,0.004,0.95,0.956,0.974,2.5,9496.0,9048.0,448.0,33.0
2026-09-05T10:57:36.770668,t2m,0.0255311267443433,0.0201253721988858,-0.0023009704286384,0.9999960032416536,0.9971219038027588,12769,,,,,,,,,,
2026-09-05T10:57:36.770668,wind,0.0230586297206496,0.0181405183617011,0.0004160740796825,0.9999567378517324,0.9906598285268556,12769,,,,,,,,,,
2026-09-05T10:58:10.416403,tp,0.0017528412609525,0.001346525880725,-0.0001591375590945,0.9999064370854308,0.9862499964516402,12769,0.953,0.004,0.95,0.956,0.974,2.5,9496.0,9048.0,448.0,33.0
2026-09-05T10:58:10.416403,t2m,0.0255311267443433,0.0201253721988858,-0.0023009704286384,0.9999960032416536,0.9971219038027588,12769,,,,,,,,,,
2026-09-05T10:58:10.416403,wind,0.0230586297206496,0.0181405183617011,0.0004160740796825,0.9999567378517324,0.9906598285268556,12769,,,,,,,,,,
2026-09-05T11:00:04.000588,tp,0.0017528412609525,0.001346525880725,-0.0001591375590945,0.9999064370854308,0.9862499964516402,12769,0.953,0.004,0.95,0.956,0.974,2.5,9496.0,9048.0,448.0,33.0
2026-09-05T11:00:04.000588,t2m,0.0255311267443433,0.0201253721988858,-0.0023009704286384,0.9999960032416536,0.9971219038027588,12769,,,,,,,,,,
2026-09-05T11:00:04.000588,wind,0.0230586297206496,0.0181405183617011,0.0004160740796825,0.9999567378517324,0.9906598285268556,12769,,,,,,,,,,
2026-09-05T11:45:34.727784,tp,0.0017528412609525,0.001346525880725,-0.0001591375590945,0.9999064370854308,0.9862499964516402,12769,0.953,0.004,0.95,0.956,0.974,2.5,9496.0,9048.0,448.0,33.0
2026-09-05T11:45:34.727784,t2m,0.0291511289288346,0.0229789043619271,-0.0026272199538366,0.9999959907961016,0.9971218270598046,12769,,,,,,,,,,
2026-09-05T11:45:34.727784,wind,0.018937154363753,0.0148979764559568,0.0003425358934196,0.9999565611719308,0.9906572465226332,12769,,,,,,,,,,
2026-09-09T15:47:06.725928,tp,0.0017613831981833,0.0013296590226007,-0.0003257299983443,0.9999079341373454,0.9861855548154944,12769,0.939,0.002,0.937,0.941,0.967,2.5,9654.0,9061.0,593.0,20.0
2026-09-09T15:47:06.725928,t2m,0.029277977327694,0.0239048510091142,0.0007836914359562,0.9999958392719004,0.997107441388012,12769,,,,,,,,,,
2026-09-09T15:47:06.725928,wind,0.0183008488666155,0.0143105211475591,0.0029268047977207,0.9999602292976488,0.990964702158946,12769,,,,,,,,,,
2026-09-09T15:47:40.135829,tp,0.0017613831981833,0.0013296590226007,-0.0003257299983443,0.9999079341373454,0.9861855548154944,12769,0.939,0.002,0.937,0.941,0.967,2.5,9654.0,9061.0,593.0,20.0
2026-09-09T15:47:40.135829,t2m,0.029277977327694,0.0239048510091142,0.0007836914359562,0.9999958392719004,0.997107441388012,12769,,,,,,,,,,
2026-09-09T15:47:40.135829,wind,0.0183008488666155,0.0143105211475591,0.0029268047977207,0.9999602292976488,0.990964702158946,12769,,,,,,,,,,
2026-09-09T15:47:55.370475,tp,0.0017613831981833,0.0013296590226007,-0.0003257299983443,0.9999079341373454,0.9861855548154944,12769,0.939,0.002,0.937,0.941,0.967,2.5,9654.0,9061.0,593.0,20.0
2026-09-09T15:47:55.370475,t2m,0.029277977327694,0.0239048510091142,0.0007836914359562,0.9999958392719004,0.997107441388012,12769,,,,,,,,,,
2026-09-09T15:47:55.370475,wind,0.0183008488666155,0.0143105211475591,0.0029268047977207,0.9999602292976488,0.990964702158946,12769,,,,,,,,,,
2026-09-09T15:47:57.296000,tp,0.0017613831981833,0.0013296590226007,-0.0003257299983443,0.9999079341373454,0.9861855548154944,12769,0.939,0.002,0.937,0.941,0.967,2.5,9654.0,9061.0,593.0,20.0
2026-09-09T15:47:57.296000,t2m,0.029277977327694,0.0239048510091142,0.0007836914359562,0.9999958392719004,0.997107441388012,12769,,,,,,,,,,
2026-09-09T15:47:57.296000,wind,0.0183008488666155,0.0143105211475591,0.0029268047977207,0.9999602292976488,0.990964702158946,12769,,,,,,,,,,
2026-09-09T15:47:58.544997,tp,0.0017613831981833,0.0013296590226007,-0.0003257299983443,0.9999079341373454,0.9861855548154944,12769,0.939,0.002,0.937,0.941,0.967,2.5,9654.0,9061.0,593.0,20.0
2026-09-09T15:47:58.544997,t2m,0.029277977327694,0.0239048510091142,0.0007836914359562,0.9999958392719004,0.997107441388012,12769,,,,,,,,,,
2026-09-09T15:47:58.544997,wind,0.0183008488666155,0.0143105211475591,0.0029268047977207,0.9999602292976488,0.990964702158946,12769,,,,,,,,,,
2026-09-09T15:47:59.863084,tp,0.0017613831981833836,0.0013296590226007658,-0.00032572999834434206,0.9999079341373454,0.9861855548154944,12769,0.939,0.002,0.937,0.941,0.967,2.5,9654.0,9061.0,593.0,20.0
2026-09-09T15:47:59.863084,t2m,0.029277977327694035,0.023904851009114228,0.000783691435956213,0.9999958392719004,0.997107441388012,12769,,,,,,,,,,
2026-09-09T15:47:59.863084,wind,0.01830084886661554,0.014310521147559102,0.0029268047977207656,0.9999602292976488,0.9909647021589459,12769,,,,,,,,,,
